product_id,product_handle,product_title,sku,year,make,model,trim,engine,universal,notes,position
gid://shopify/Product/10358752313620,apex-stage-2-cold-air-intake-ford-f150-ecoboost,Apex Stage-2 Cold Air Intake System (Ford F-150 3.5L / 2.7L EcoBoost),APX-CAI-F150-EB,2022,Ford,F-150,Lariat,3.5L EcoBoost V6,false,Direct bolt-on replacement. Calibrated for 2.7L & 3.5L EcoBoost engines.,Engine Bay
gid://shopify/Product/10358752313620,apex-stage-2-cold-air-intake-ford-f150-ecoboost,Apex Stage-2 Cold Air Intake System (Ford F-150 3.5L / 2.7L EcoBoost),APX-CAI-F150-EB,2023,Ford,F-150,Lariat,3.5L EcoBoost V6,false,Direct bolt-on replacement. Calibrated for 2.7L & 3.5L EcoBoost engines.,Engine Bay
gid://shopify/Product/10358752313620,apex-stage-2-cold-air-intake-ford-f150-ecoboost,Apex Stage-2 Cold Air Intake System (Ford F-150 3.5L / 2.7L EcoBoost),APX-CAI-F150-EB,2024,Ford,F-150,Lariat,3.5L EcoBoost V6,false,Direct bolt-on replacement. Calibrated for 2.7L & 3.5L EcoBoost engines.,Engine Bay
gid://shopify/Product/10358752313620,apex-stage-2-cold-air-intake-ford-f150-ecoboost,Apex Stage-2 Cold Air Intake System (Ford F-150 3.5L / 2.7L EcoBoost),APX-CAI-F150-EB,2024,Ford,F-150,XLT,2.7L EcoBoost V6,false,Direct bolt-on replacement. Calibrated for 2.7L & 3.5L EcoBoost engines.,Engine Bay
gid://shopify/Product/10358752313620,apex-stage-2-cold-air-intake-ford-f150-ecoboost,Apex Stage-2 Cold Air Intake System (Ford F-150 3.5L / 2.7L EcoBoost),APX-CAI-F150-EB,2024,Ford,F-150,Raptor,3.5L High-Output EcoBoost V6,false,Direct bolt-on replacement. Calibrated for 2.7L & 3.5L EcoBoost engines.,Engine Bay
gid://shopify/Product/10358754017556,apex-pro-heavy-duty-brake-pad-rotor-kit-truck,Apex Pro Severe-Duty Drilled & Slotted Brake Kit (Front Axle),APX-BRK-HD-TRK,2021,Ford,F-150,XLT,3.5L PowerBoost Full Hybrid V6,false,Front axle only. Fits 6-lug wheel hubs.,Front Axle
gid://shopify/Product/10358754017556,apex-pro-heavy-duty-brake-pad-rotor-kit-truck,Apex Pro Severe-Duty Drilled & Slotted Brake Kit (Front Axle),APX-BRK-HD-TRK,2022,Ford,F-150,Lariat,3.5L EcoBoost V6,false,Front axle only. Fits 6-lug wheel hubs.,Front Axle
gid://shopify/Product/10358754017556,apex-pro-heavy-duty-brake-pad-rotor-kit-truck,Apex Pro Severe-Duty Drilled & Slotted Brake Kit (Front Axle),APX-BRK-HD-TRK,2022,Chevrolet,Silverado 1500,Custom,5.3L EcoTec3 V8,false,Front axle only. Fits 6-lug wheel hubs.,Front Axle
gid://shopify/Product/10358754017556,apex-pro-heavy-duty-brake-pad-rotor-kit-truck,Apex Pro Severe-Duty Drilled & Slotted Brake Kit (Front Axle),APX-BRK-HD-TRK,2023,Ford,F-150,Lariat,3.5L EcoBoost V6,false,Front axle only. Fits 6-lug wheel hubs.,Front Axle
gid://shopify/Product/10358754017556,apex-pro-heavy-duty-brake-pad-rotor-kit-truck,Apex Pro Severe-Duty Drilled & Slotted Brake Kit (Front Axle),APX-BRK-HD-TRK,2023,Ford,F-150,XLT,5.0L Ti-VCT V8,false,Front axle only. Fits 6-lug wheel hubs.,Front Axle
